#separator:Semicolon
#html:false
#columns:ID;Deck;Infinitiv;Präsens;Präteritum;Perfekt;Englische Übersetzung;Tags
#deck:DKFA B1 Verbliste
#guid column:1
#deck column:2
#tags column:8

DKFA_B1_V074;DKFA B1 Verbliste::Gruppe 4a;gelten;gilt;galt;gegolten;to be valid;gruppe_4a
DKFA_B1_V075;DKFA B1 Verbliste::Gruppe 4a;helfen;hilft;half;geholfen;to help;gruppe_4a
DKFA_B1_V076;DKFA B1 Verbliste::Gruppe 4a;nehmen;nimmt;nahm;genommen;to take;gruppe_4a
DKFA_B1_V077;DKFA B1 Verbliste::Gruppe 4a;teilnehmen;nimmt teil;nahm teil;teilgenommen;to participate;gruppe_4a
DKFA_B1_V078;DKFA B1 Verbliste::Gruppe 4a;sprechen;spricht;sprach;gesprochen;to speak;gruppe_4a
DKFA_B1_V079;DKFA B1 Verbliste::Gruppe 4a;stechen;sticht;stach;gestochen;to sting;gruppe_4a
DKFA_B1_V080;DKFA B1 Verbliste::Gruppe 4a;stehlen;stiehlt;stahl;gestohlen;to steal;gruppe_4a
DKFA_B1_V081;DKFA B1 Verbliste::Gruppe 4a;sterben;stirbt;starb;ist gestorben;to die;gruppe_4a
DKFA_B1_V082;DKFA B1 Verbliste::Gruppe 4a;treffen;trifft;traf;getroffen;to meet;gruppe_4a
DKFA_B1_V083;DKFA B1 Verbliste::Gruppe 4a;werben;wirbt;warb;geworben;to advertise;gruppe_4a
DKFA_B1_V084;DKFA B1 Verbliste::Gruppe 4a;s. bewerben um;bewirbt sich;bewarb sich;beworben sich;to apply for;gruppe_4a
DKFA_B1_V085;DKFA B1 Verbliste::Gruppe 4a;werfen;wirft;warf;geworfen;to throw;gruppe_4a
DKFA_B1_V086;DKFA B1 Verbliste::Gruppe 4b;beginnen mit;beginnt mit;begann mit;begonnen mit;to begin with (formal);gruppe_4b
DKFA_B1_V087;DKFA B1 Verbliste::Gruppe 4b;gewinnen;gewinnt;gewann;gewonnen;to win;gruppe_4b
DKFA_B1_V088;DKFA B1 Verbliste::Gruppe 4b;schwimmen;schwimmt;schwamm;ist geschwommen;to swim;gruppe_4b
DKFA_B1_V089;DKFA B1 Verbliste::Gruppe 4c;kommen;kommt;kam;ist gekommen;to come;gruppe_4c
DKFA_B1_V090;DKFA B1 Verbliste::Gruppe 4c;ankommen;kommt an;kam an;ist angekommen;to arrive;gruppe_4c
DKFA_B1_V091;DKFA B1 Verbliste::Gruppe 4d;heben;hebt;hob;gehoben;to lift;gruppe_4d
DKFA_B1_V092;DKFA B1 Verbliste::Gruppe 4d;aufheben;hebt auf;hob auf;aufgehoben;to pick up;gruppe_4d
DKFA_B1_V093;DKFA B1 Verbliste::Gruppe 4d;schmelzen;schmilzt;schmolz;ist geschmolzen;to melt;gruppe_4d
DKFA_B1_V094;DKFA B1 Verbliste::Gruppe 4d;schwören;schwört;schwor;geschworen;to swear;gruppe_4d
DKFA_B1_V095;DKFA B1 Verbliste::Gruppe 5a;essen;isst;aß;gegessen;to eat;gruppe_5a
DKFA_B1_V096;DKFA B1 Verbliste::Gruppe 5a;fressen;frisst;fraß;gefressen;to devour;gruppe_5a
DKFA_B1_V097;DKFA B1 Verbliste::Gruppe 5a;geben;gibt;gab;gegeben;to give;gruppe_5a
DKFA_B1_V098;DKFA B1 Verbliste::Gruppe 5a;aufgeben;gibt auf;gab auf;aufgegeben;to give up;gruppe_5a
DKFA_B1_V099;DKFA B1 Verbliste::Gruppe 5a;geschehen;geschieht;geschah;ist geschehen;to happen;gruppe_5a
DKFA_B1_V100;DKFA B1 Verbliste::Gruppe 5a;lesen;liest;las;gelesen;to read;gruppe_5a
DKFA_B1_V101;DKFA B1 Verbliste::Gruppe 5a;messen;misst;maß;gemessen;to measure;gruppe_5a
DKFA_B1_V102;DKFA B1 Verbliste::Gruppe 5a;sehen;sieht;sah;gesehen;to see;gruppe_5a
